job_title,company,location,job_summary,salary,post_date,job_url
Designer (Contract),Placements.io,"New York, NY",,"Marketing & Design | New York, NY USA.
Placements.io is changing the way digital media publishers manage their advertising businesses.",https://www.indeed.com//rc/clk?jk=ee19ae6d39935d69&fccid=408ce1b5c7d1e6a4&vjs=3,30+ days ago
NYC Fintech Startup looking for UI Designer,Vested Global,"New York, NY",$15 - $45 an hour,Ideal candidates should have some relevant experience in working with mobile app/web interfaces and familiar with UI design tools and have a strong sense of…,https://www.indeed.com//company/Vested-Global/jobs/Nyc-Fintech-Startup-Ui-Designer-add865d12fbc4f10?fccid=c78ad35e3c556943&vjs=3,19 days ago
Product Designer/ UX Designer,Litera,"New York, NY",,This is a key role within the company responsible for creating intuitive and innovative user experiences targeted toward the various personas of our law firm…,https://www.indeed.com//rc/clk?jk=7b9153f3bfd2a702&fccid=9f183bcbbcbaf0d6&vjs=3,30+ days ago
Junior Graphic Designer,AlphaSights,"New York, NY",,"The opportunity to grow and develop as a designer, with a professional development budget, including 3 paid days a year to attend courses or learn new design…",https://www.indeed.com//rc/clk?jk=c1bf87bae95f883d&fccid=915837b22fb3a5f0&vjs=3,30+ days ago
Graphic Designer,Uhuru Design,"Brooklyn, NY",,"As a Graphic Designer at Uhuru, you’ll focus on shaping creative strategies and executing design solutions stemming from a clear understanding of our internal…",https://www.indeed.com//rc/clk?jk=1b05386d00fc9b6f&fccid=ec21510ff773d79b&vjs=3,30+ days ago
Digital Designer,Snaplistings,"New York, NY","$46,000 - $65,000 a year","We're a tight-knit, growing team in need of someone who brings a unique combination of proven design skills and a keen eye for digital marketing aesthetics.",https://www.indeed.com//company/Snaplistings/jobs/Digital-Designer-d99e2aa82e9b286d?fccid=a0f9b657e91f6898&vjs=3,4 days ago
"Product Designer, Viewing Experience, Peacock",NBCUniversal,"New York, NY",,"Optimize across multiple platforms, including TV, web and mobile, leaning into the capabilities of each.
Take designs from concept to wireframe to prototype,…",https://www.indeed.com//rc/clk?jk=1fc0f721aaedfab9&fccid=35d653c09c2712b6&vjs=3,30+ days ago
CWM - Wealth - UX Designer - Analyst - New York City,Goldman Sachs,"New York, NY",,"As a creative and designer, you’ll understand the needs of users and reframe them into delightful experiences for our customers, with a keen attention to detail…",https://www.indeed.com//rc/clk?jk=fa59c914168f88ed&fccid=16a97ed26c75bf2d&vjs=3,30+ days ago
Product Designer,Diagnostic Robotics,"New York, NY",,"We are a team of Product Managers, Product Designers, Engineers, Medical Doctors, and Data scientists who work together to create complex, challenging, consumer…",https://www.indeed.com//rc/clk?jk=bf6a66bbbe0da887&fccid=e35acb6e901e1e29&vjs=3,21 days ago
Product Designer,K Health,"New York, NY",,"Partner with designers, product managers, and engineers to work on designs in all phases of the product life cycle, from broad concepts to pixel-perfect details…",https://www.indeed.com//rc/clk?jk=978b5cff5eac7f94&fccid=c853f7a628ce4b9a&vjs=3,4 days ago
UX Designer,Gannett,"New York, NY",,"You’ll have an eye for clean and artful design, melding interactive features with functional user interfaces that drive measurable business impact.",https://www.indeed.com//rc/clk?jk=b535291ef8b33e6e&fccid=1230acb7e56c6df5&vjs=3,30+ days ago
Graphic Designer,Comcast,"New York, NY",,"Comcast Advertising is seeking a graphic design virtuoso who is energized by the opportunity to bring brand guidelines to life, work on complicated projects and…",https://www.indeed.com//rc/clk?jk=2307e39bc6b95fd1&fccid=ea25315ee9da22e5&vjs=3,10 days ago
UI/UX Designer,"Real Capital Analytics, Inc.","New York, NY",,"As part of our in-house team, you will work alongside two other designers to interview clients, complete design sprints, design experience and interfaces, and…",https://www.indeed.com//rc/clk?jk=d236e9415a7ed62d&fccid=8e81123732f85e80&vjs=3,30+ days ago
Product Designer,Cater2.me,"New York, NY",,"2 - 4 years of experience as a UI/UX designer.
You will help create Cater2.me’s digital user experience for internal agents, meal vendors, and clients.",https://www.indeed.com//rc/clk?jk=1baca149c268b08d&fccid=ec3991da071645c7&vjs=3,Just posted
UX/UI Designer,Excelsior Management co.,"New York, NY","$51,000 - $70,000 a year","Ideal candidates should have some relevant experience in working with mobile app/web interfaces and familiar with UI design tools.
Temporarily due to COVID-19.",https://www.indeed.com//company/Excelsior-Management-co./jobs/Ux-Ui-Designer-2c25b09535a49593?fccid=0931f4261cfed8a2&vjs=3,13 days ago
Motion Designer,Google,"New York, NY",,"Collaborate closely with fellow user experience designers, product managers and engineers to define, challenge and solve complex problems to enhance…",https://www.indeed.com//rc/clk?jk=01e04f5ebdfe9466&fccid=a5b4499d9e91a5c6&vjs=3,30+ days ago
Designer - Digital Production,Tory Burch,"New York, NY",,The Digital Production Designer supports our in-house digital production team within the Creative Team to execute and deliver high quality assets across the…,https://www.indeed.com//rc/clk?jk=b2b8ec1651e86759&fccid=fdf755343f0d328b&vjs=3,30+ days ago
"Director, Product Design",Sony Music Entertainment US,"New York, NY",,"Manage and develop multiple teams of designers, influencing product direction and roadmaps in support of business objectives.
Time off for a winter recess.",https://www.indeed.com//rc/clk?jk=5453e636383d2c03&fccid=c5284eeef83d4d1c&vjs=3,4 days ago
CWM - PWM - Financial Wellness - Designer - Associate - New York City,Goldman Sachs,"New York, NY",,Our designers must know the importance of building and maintaining standards through a scalable design system and be confident in defending design choices.,https://www.indeed.com//rc/clk?jk=88eed1ca4e474f72&fccid=16a97ed26c75bf2d&vjs=3,30+ days ago
Product Designer,The Professionals Advocate,"New York, NY",,"Coordinate with designers to ensure accurate communication and efficiency in the design phase.
As a Product Designer, you will work closely with the Marketplace…",https://www.indeed.com//rc/clk?jk=57d8558c43515437&fccid=330b7a9237c3ed1f&vjs=3,30+ days ago
Digital Product Designer (Open to Remote),Medidata Solutions,"New York, NY",,"2+ years experience as a professional visual designer, interaction designer, user experience or product designer.",https://www.indeed.com//rc/clk?jk=904a851f9b1f9995&fccid=3e34ac4ae73849ba&vjs=3,19 days ago
Senior Digital Designer,KIND,"New York, NY",,"As the Senior Digital Designer, you will lead creation of on-brand, innovative designs to help build upon KIND Snacks’ success across marketing and ecommerce.",https://www.indeed.com//rc/clk?jk=c2007530f47f32ee&fccid=7fe31231d8054866&vjs=3,19 days ago
Product Designer,Realworld,"New York, NY",,"As our first full-time designer, you will play a critical role in empowering our team to chase our ambitious vision of simplifying adulthood by translating that…",https://www.indeed.com//rc/clk?jk=a2c4109d61da6786&fccid=4c1c61912fd6218e&vjs=3,30+ days ago
"Product Designer New York, NY",VMware,"New York, NY",,"Providing mentorship for junior designers.
You have a passion for user-centered design and cross-functional agile software teams.
You will be responsible for:",https://www.indeed.com//rc/clk?jk=009d4e409a102e81&fccid=c762a27145bd166e&vjs=3,11 days ago
Product Designer,Tailwind,"New York, NY",,"Work closely with other designers on our team to seek and provide honest, thoughtful feedback.
You are comfortable communicating design decisions and processes…",https://www.indeed.com//rc/clk?jk=e7ce1c8ad4c70b04&fccid=c4b58f4ddb0e544f&vjs=3,23 days ago
Associate Designer,MRM,"New York, NY",,"Design for online as well as offline mediums (web, social media, mobile, and print).
Engage in projects from concept phase through to final release.",https://www.indeed.com//rc/clk?jk=5c62e6f0f3fbf6bc&fccid=50d9950288add6cc&vjs=3,25 days ago
UX Designer,Kettle,"New York, NY",,"You will collaborate with Visual Designers, Product Strategists and Developers to design new features, enhance existing ones while establishing and reinforcing…",https://www.indeed.com//rc/clk?jk=85bab4da5ba7a9b8&fccid=327bd950d6d9d5cf&vjs=3,30+ days ago
Product Designer,Cater2.me,"New York, NY",,"2 - 4 years of experience as a UI/UX designer.
You will help create Cater2.me’s digital user experience for internal agents, meal vendors, and clients.",https://www.indeed.com//rc/clk?jk=1baca149c268b08d&fccid=ec3991da071645c7&vjs=3,Just posted
Sr. UX Designer,Microsoft,"New York, NY",,"PromoteIQ provides intelligent vendor marketing solutions for the next generation of e-commerce.
Our platform helps retailers implement, automate, and scale…",https://www.indeed.com//rc/clk?jk=a31d0f73afe65600&fccid=734cb5a01ee60f80&vjs=3,12 days ago
UX Designer,Simons Foundation,"New York, NY",,The Simons Foundation is looking for a User Experience Designer to fill a full-time position in our web development team.,https://www.indeed.com//rc/clk?jk=abcc49eb80886706&fccid=8844f3447ed4e2d6&vjs=3,30+ days ago
"Senior Product Designer, Globalization",Disney Streaming Services,"Colonia, NJ",,"Creators seek how to engage their audience with compelling user experiences.
Full-stack skillset, with expertise across multiple facets of product design,…",https://www.indeed.com//rc/clk?jk=7e07f68455426212&fccid=4b5d257051285786&vjs=3,Just posted
Visual Designer,Amazon.com Services LLC,"New York, NY",,"A strategically important part of our charter is to build and drive adoption across a portfolio of self-service, cost-per-click advertising products to enable…",https://www.indeed.com//rc/clk?jk=829fe4ee801157df&fccid=fe2d21eef233e94a&vjs=3,30+ days ago
UX Researcher & Designer,Eko,"New York, NY",,"Collaborate with designers, marketers, researchers, and data analysts focused on creating the next most useful and usable shopping experiences, both on and…",https://www.indeed.com//rc/clk?jk=ef9a284ca31dd636&fccid=2dfdc07980566d98&vjs=3,23 days ago
Digital Designer,Snaplistings,"New York, NY","$46,000 - $65,000 a year","We're a tight-knit, growing team in need of someone who brings a unique combination of proven design skills and a keen eye for digital marketing aesthetics.",https://www.indeed.com//company/Snaplistings/jobs/Digital-Designer-d99e2aa82e9b286d?fccid=a0f9b657e91f6898&vjs=3,4 days ago
Product Designer,K Health,"New York, NY",,"Partner with designers, product managers, and engineers to work on designs in all phases of the product life cycle, from broad concepts to pixel-perfect details…",https://www.indeed.com//rc/clk?jk=978b5cff5eac7f94&fccid=c853f7a628ce4b9a&vjs=3,4 days ago
"Product Designer, Newsletters",The New York Times,"New York, NY",,"As a mid-level Product Designer on the Messaging team you will partner with designers, researchers, engineers, and editors to develop new newsletter…",https://www.indeed.com//rc/clk?jk=aef06e36f4ebcefb&fccid=1b50fcfb150b1b48&vjs=3,30+ days ago
"Product Designer, Motion and Prototype",Disney Streaming Services,"New York, NY",,"Creators seek how to engage their audience with compelling user experiences.
Passionate about user experience & building intuitive UI interaction.",https://www.indeed.com//rc/clk?jk=40b084c475e33fab&fccid=4b5d257051285786&vjs=3,11 days ago
Web Designer,Hunter Douglas Inc.,"New York, NY",,We are looking for a curious and talented website designer to help develop new site layouts and experiences that will influence consumer brand perceptions and…,https://www.indeed.com//rc/clk?jk=b10bbaa363a8ac8d&fccid=ffa0939cae523fb4&vjs=3,6 days ago
"Head of User Experience, Design, and Research",Code Climate,"New York, NY",,"You'll be getting your hands dirty in the beginning setting the product and brand aesthetic.
Competitive salary and meaningful stock options.",https://www.indeed.com//rc/clk?jk=07bdf0b3887068ca&fccid=2d25a9c5fb8d5f78&vjs=3,30+ days ago
Senior Product Designer,Major League Baseball,"New York, NY",,"Are a product designer that can go from idea to final pixels with the help of a solid design system.
We do this through the practice of a fan focused approach…",https://www.indeed.com//rc/clk?jk=1db804ade1413525&fccid=6262eae176df0db9&vjs=3,30+ days ago
Senior UX/UI Designer,DK Transit Services,"New York, NY","$85,000 - $95,000 a year","The Senior UX/UI Designer will be responsible for curating innovative designs for our website, digital ads, and other digital materials.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BKgzQyzTF1Q9mOsR1amaS-juVGLjHt5Cdom-gEF9y-xV8YZYg85SiY6BTN0pYlgEIf9Tn22XCzn7xkp05a8NkKmFsoMJIcUVGa0n1KeMnbOABOlMStxLTP336fw9FeaDyKkjH-o-FCHor5K50Lo0hiBbHkxmb5Q0OuWA2a9CdYHb6IQWCpaNTwsEg1BDDi1RjPvxPOve6lPF3bTsvlHzRZ7CGCHmzraGPHahSRS8WKz5nMLhVOIwEugzsRXEm5DbMdJ6JZwJ0io0eTweN-i-sXIlKrOuh2rMsDszQtXkK7qN7enAxKWj9i8zbMrybRt6Ob9G6uSlS27uKTBxTMvojuAwJWCwTOObUXZkIdjBbUmHZJprQ9pjVv51Q_IvdLeohPRELKi5UraaddTokjKvDPa0Lagj_pGFUNY22JL0slvWnQlh4lumMd4mhDnXJ_cwU9GWaFDRme8pZFMEmKNK7N&p=10&fvj=1&vjs=3,18 days ago
Senior Product Designer,Heady,"Brooklyn, NY","$100,000 - $120,000 a year","As a senior project designer at Heady, you will paint product visions for clients and drive design directions from creating wireframes and prototypes,…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DjyrFUjeFfekEiAsf-2c-Xzd-l0SzdNH80t3eNUBQmwcUX-1R9j68BSrv73h9KM9l19iv0Ts9tXXl8n_ovME1cn5oodZa5SmrMBA8RmTQRNbuEcfyiE7FkiP17vuDZcnx4hISqIFmllkjL3zbkcHml3G7S3fXaLWPkRnlS7K80P4hxZXpjcTwykL7cRRBine8CXhqsFTgWVd4YPHy9VOhNlfFYmUfFLwXOcaR1zjdWsMFKfE2JBhmRu-9DHz3xtcu5jBPEXZ0lzguw3nkLKAneTOimevL1CEVobiNeianCHFkgJRo6RiHSSaMgOyGXAlDNvZQ8iNmfFQHqGuWsFnaxON3O1yo3qXWf6kYhDDpOd7J3YFKngD5kNuPpNGzlxz_JqbW1GIAxo9tBqEOlj_WuJQZOJxOoDoJMJExKYdkXiYV-5fFn4PzHWujz6i_csi2yWcGtLNOUQj4PY-86l1QD&p=11&fvj=1&vjs=3,18 days ago
"Product Designer, Globalization",Disney Streaming Services,"New York, NY",,"This role will focus primarily on user experience, interaction design and user research, but will also require some UI design work.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiQliY_kUaYmq44_d4xC_YRYUCV1icmHYHET_oyw9XOZGk7ZTvTJNK805H8srcWVOmZaOMgdjpQJG4v7tWjWaoIkp2S64aNtHqj2Dl0W-UMmGuJ5dr36IdeHKX-p8o6P9KYvJu6sWtR4PoDObVGJ8CaPMNYqqBM_7uRwaTulUbnls3jfYxxl6_EsIf2gM2kuvU4yUKnsoO0g4Xm1SjBa5xL66BcQc7oegUvPLC4h9KpXe-l8tsSsyKCgR7AqGFLHsfLj6-sSXYj3DNOTsfsqUu2g-0Izjt6FdhxN9kAIV7Qb2w0qjvdlk-mk5g0s9iy8TTKMy9Ec_Qe-EmyxVDgwRWEZgHeuxoo_GBA==&p=12&fvj=0&vjs=3,Just posted
Senior Designer,Cemtrex,"Brooklyn, NY","$75,000 - $85,000 a year",The senior designer is responsible for creating innovative and engaging designs for multiple subsidiaries to support our larger marketing campaigns and…,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BI5FSItB1SpCgRQnQJHmFPH6naWD9xqB2UGZX2D2fDF-Fxb2jOK9sDyDVwhc-WwpUDfMQooME29qm76lM-dSu6B6JrJQPw450M33oCWl-M61oxFLnyoNJvplkF6XLAldxyoLmGA1F_8pRP6L2581BzbwnKRlKCHAFVFNIz7e06F4HLUz12_xiKfj0OUuaKnXzR410RmkFe9w9kmN-9FNYYG0iURUwOBkplmp-m3EEE2gGg1CklDg5JT831pxTB4cgglYe1uc8fLIz-MYGDGMXvA7vBcnFVKjwQ_DQ4kMc6eEQVbYzu9p4zgt81gLv1oebkijR7EaybThb-aym9k_iZRADkKLhmsNmnZqB3gUwrHwpZRQYBHemuKw1exxc9YaTtttCIh8bUFhLpllWzXvUtFUaJlsECNS56J0PHrQAXC0I5TSOPYg6ZwOjybq5l7pvJrnh6v9cMnWqgTDI0SnNT&p=13&fvj=1&vjs=3,30+ days ago
UX Designer,Confidential,"New York, NY",,"Works alongside designers, engineers and product managers throughout all stages of the production cycle.
In this role, you should be an analytical and creative…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DfEb3tLA-01uhnmmQRYbZcufIwTaE_Jpi9tKb9TNt4c57MdyMaH29AleQSjk3PMH92brK2wO13vFl4bj5Tl-e88MViOHvlCXnfugi9Sf18ALKe6VTk2AnaWzf5Oh2qd3B1BFJ1M9Sp-N7zgUwdwi3cvXszJkADfPB033Z20e18wxaB_2IXkeJyRMSjtUuy__8a3JSwJByeaQempYGG7QrT7Od-xjh_GySEbm0SY5OmqKOA4dzzR9_avX8tTSIMpYNP3UGfvEel0zglAP5QNvbUn3qP2O4ScQbXxkZY5s8fiD8VzuPZ4bOQFtWSbl-hs6JgabYPJZd1gFeMdned4aIXvkOKL2IQfWzk992YxC9RzInZl_OE2jiwaoTDnubYOy7j575SL-AxfuxnQQ5XG3anl8jNkx80g_gdE0L1JEhSFAweLoOPXDQYDWa8LYd75pKeqfhho4kZBQ==&p=14&fvj=1&vjs=3,30+ days ago
Senior Product Designer,"G Mason Group, LLC","New York, NY",,"Product mixes include all things pet, (ie Apparel, Beds, Toys, Hardlines, Liquids, Softlines, etc).
Design toys, apparel, bedding, collars, accessories and…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0C65srZv58afY51pgXqALJnkzv85QtJX8gX_dwWdq3jbBDbgwThe59Sr0pLe1mSIB0FLKAuYCUDb-CHgtlaK508cPn7dnYoJh8dWpsCScDlYNLnTnRfQwhF-lEoGGi71lPrlbUO5PO0w7wYhrQLv66m8-l37PYEnFSDzzNyuVFyaUNZWw1Mmd7cgWUPxkUu6nM_-y1HK3YOebbHUi-JkFfYYXo7gHSBhCzil9SYWkzgOP1BJnIvELXkpeTGiEids6p6f1W308tKpr5gneGAPyNH1ll3huOTHkNXnmLl2ivqskKgHs-c4s27DwT_OZFDbJ8rOyyjHmY84T_Bk_mgXIDuppjJbEu5IkGWT21l1vFE0eMCM2WTzEl34C1FrAmZoEqgl7DfY8edrMJAMY6jgIHFDyR4ZRuo7oJAouZP0cimULxoEjekcbfXe_Hly4Trm-fMt_XuXra5pO6FhHvlYtx2&p=15&fvj=1&vjs=3,11 days ago
Web Designer,Norma Kamali,"New York, NY",,"At Norma Kamali, our designers work collaboratively with our graphics team to design digital experiences that achieve the company goals.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Dx0yuOxwzWuXiDihynMABP2eIdVBKcMWSKix4-IWB1EwW4wZVaUlYXRrv_BjV2tGnMN3vgrmV817Gp_B3j-5_tSGqvuoUSjkfVlRHaNp0w69t8ow5_onI0kW9G5kVJ4lJK0eLqPxLIRYR0fM4uVi7u1N8tuqt3VQUDgO0IkBXmIV0bVqFRT4tkkpDYDFfLC21HiUJwwDbOzVGP5Cd84Cm11xcELSYm6fhkxUcqx48odYbvX5uMcvhIa86TJHxPE8xns5V6Wohu9igRnS5HIHYOdm5oSZKDcmrd4VHpSPlVzaruREGKlAAzQCpaYimFZ33sfFwXFmo81yGAFOaNbOkcuAp50TKjowMgnzrVE_biGXGMQDgZ_WHUjDefXbl0un_X80-lT2jL5n20cw6mzKJU2HVo77otoewYFzrpvkfNCttLRnhJwxpcIsLtjojON8b31HoNg4lGfA==&p=16&fvj=1&vjs=3,30+ days ago
UI/UX designer,ManageGo,"Brooklyn, NY","$55,000 - $120,000 a year","ManageGo is the smartest all-in-one tool for property management.
You’ll be a part of designing and implementing all of them, making sure that they look great…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DgvCuC-ixTn4QHyHXK4mWjXNvuWGzNkS2Ga0C7QEDoool9fHReAAAj6l9gQP-n5-hPV3p9Qf-9bennyVwk3vUTDP_r-dyR3x0dAqy8jlbkerTcFL23x8BSE2yOlxPnzgZG4a6M3tXWZG0PzD3YDFOArJiSu1yE6ZJxG8arn_aceKL4-SVlMJkbTGT3VwB3U43Vhm-Ddk6Q03jiX9vXjaperBEg18S8iEna2_waE4mBfcvnnJdjfFCY2W1yiON9nvRiV3Ava-teFgMKZzgXJlMZxOC5oADgDxaar6fuITc5UmTB2AIWvhxPiqOlT81dUEWpU7W4ixe08rVOTgHZ9aAbzbUXiSIgOPTpfMaw--q_3xr1bBE3fQRmhBTmgVpRNji5wj5UrRwUdKR3aewhejhVRDJ18QreIEdOT9gvMvE9cvGNQVQG-T9XMZ0x7nGzrNw=&p=17&fvj=1&vjs=3,19 days ago
Senior UX/UI Designer,GoGoTech,"New York, NY","Up to $114,000 a year","Related keywords: ux designer, ux, senior ux designer, user experience designer, ui ux designer.
3+ years’ proven track record as a successful UX/UI designer…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BVMfkTzzJvymq9hkptLvqt_jmxWehAOZYMuR_XCAZ_REww7nTcMlufsaLRickDiTqb9D4C2mPWJr_bn928YxYeoEcxbBJm_WUPt2rZOv20jR8bJzjJFJSM39VyYu4ugpLcl1_flH2eC64cA_u19okTnyDkhXVBfln-_LtxpDgG7N7NYVcWVEpSDT-wkYWyGHJNUHUameJGbxmtirRYyCkeciNTqwvXFy7okO4EC8te9r0_akENqlS2R61bdMNWkNCvqaRnYNW3tNEZlSwNyoSSOE9nnqW1HfCUYb7Y_IfaxrLYT0FOdFGIDIsW-eh-HdT53xwWb3gsfXNCK1B9uJWSsTWTbwweScGixNAHl9FE49oLuicbB7W7F6kBlfsu1ubEj-arwvAgRr2x0E1RL2SDh4sG_qrD6VbhdXkTrmPz4uAHBOqdl3Scl016UlD0ncDdJgZ5fwC_CK6_zF51xsLl&p=18&fvj=1&vjs=3,30+ days ago
Product Designer - Digital Incubator Team,Braintrust,"New York, NY",$95 - $115 an hour,"JOB TYPE: Freelance, Contract Position - No agencies (See notes below).
ESTIMATED DURATION: 40Hrs/Week - Long Term, 6-month project.",https://www.indeed.com//rc/clk?jk=a536b86cf9a7807a&fccid=cffd065f9ff9e672&vjs=3,1 day ago
"Senior Digital Product Designer (New York, Austin)",Blue Apron,"New York, NY",,"Elegantly synthesize visual design, strategy, and ux thinking.
The Digital Consumer Design team is responsible for the entire end-to-end digital customer…",https://www.indeed.com//rc/clk?jk=8e7137bb720f716c&fccid=dc55ba6e7c37067b&vjs=3,30+ days ago
CWM - PWM - Financial Wellness - Designer - Associate - New York City,Goldman Sachs,"New York, NY",,Our designers must know the importance of building and maintaining standards through a scalable design system and be confident in defending design choices.,https://www.indeed.com//rc/clk?jk=88eed1ca4e474f72&fccid=16a97ed26c75bf2d&vjs=3,30+ days ago
UI / UX Designer,Addepar,"New York, NY",,Addepar is looking for a talented Mid-Level UI designer to create visually stunning and highly intuitive products that will bridge the gap between our prospect…,https://www.indeed.com//rc/clk?jk=9ec71b7290b930ae&fccid=cd9121ddd97de9e8&vjs=3,30+ days ago
Product Designer,Hearst Media Services,"New York, NY",,"The product designer will work closely with ux, product, and engineering teams on all aspects of the digital newspapers business.",https://www.indeed.com//rc/clk?jk=68644578eed863b1&fccid=02bd2bdda97deebf&vjs=3,27 days ago
Information & UX Designer,New Classrooms,"Manhattan, NY",,"Working cross-functionally and cross-organizationally with designers and developers, this role represents a unique opportunity to work in a collaborative…",https://www.indeed.com//rc/clk?jk=a7dc16afeff99f2d&fccid=f6af28a07d7551e4&vjs=3,11 days ago
"Creative Designer, Brands Retail Media",Criteo,"New York, NY",,"This role involves dealing with clients, business teams and engineering teams and requires a candidate who is comfortable thinking of new and innovative ways to…",https://www.indeed.com//rc/clk?jk=517363667f3c07f4&fccid=d3ee4a7355a0fb60&vjs=3,30+ days ago
Senior UX Designer,One Drop,"New York, NY",,The ideal candidate will have experience designing engaging consumer mobile and web experiences and be comfortable working in a fast-moving startup environment.,https://www.indeed.com//rc/clk?jk=c463b01f4522939e&fccid=824546cf0090cf64&vjs=3,30+ days ago
Product Designer,RocketAir,"New York, NY",,"This role will work closely with our Creative Director, Brian Hoff, and Product Design Manager to deliver designs that dazzle our clients.",https://www.indeed.com//rc/clk?jk=09685f9dca5f2cec&fccid=ae93c816a3db7245&vjs=3,30+ days ago
User Interface (UI) & Visual Designer Associate,Sterling National Bank,"New York, NY",,"As the Associate User Interface (UI) and Visual Designer, you will report to the Managing Director of User Experience and work collaboratively with UX designers…",https://www.indeed.com//rc/clk?jk=308ea2df458b4817&fccid=b41afca20fb759d9&vjs=3,30+ days ago
UX/UI Designer,FinTech Studios,"New York, NY",,"Experience with popular wireframe/mocking software, for example: Sketch, Balsamiq, Figma.
Experience with Illustrator/Photoshop, specifically relating to…",https://www.indeed.com//rc/clk?jk=34d1289dac31fa64&fccid=2bcfeab2ef9f767e&vjs=3,30+ days ago
Senior Visual/Brand Designer,Catch Financial,"New York, NY",,We serve people — not businesses — and arm them with the ability to build a custom and flexible safety net for their family.,https://www.indeed.com//rc/clk?jk=b590bf65d672ce00&fccid=82fda1cfb520a945&vjs=3,30+ days ago
Senior UX Designer,Omnicom Health Group,"New York, NY",,Develops prototypes with an innovative look and feel; structures information filtering and retrieval; coordinates scripts and graphics with writers and…,https://www.indeed.com//rc/clk?jk=ca3fef1d861027e1&fccid=3a58a6877f80f179&vjs=3,25 days ago
Lippincott- Sr. Designer,Marsh and McLennan,"New York, NY",,"Whether it’s perfecting the cadence of a key presentation or discovering a new path to engage users in an online experience, we lend the best of design thinking…",https://www.indeed.com//rc/clk?jk=0de246f961349723&fccid=d46039b952140fd4&vjs=3,30+ days ago
"Associate Product Designer, Marketing",Hearst Media Services,"New York, NY",,"As Associate Product Designer, Marketing you will join a diverse, supportive community of creatives building new experiences in digital media.",https://www.indeed.com//rc/clk?jk=b8fbe95384609327&fccid=02bd2bdda97deebf&vjs=3,25 days ago
"Product Designer, UI / UX",Bombas,"New York, NY",,"The ideal candidate has 2-4 years of experience crafting and delivering functional, elegant, and delightful digital experiences using the combination of your…",https://www.indeed.com//rc/clk?jk=2013bdf4bb93ad5a&fccid=ac6d8a565ce03d21&vjs=3,30+ days ago
Product Designer,The Farmer's Dog,"New York, NY",,"The focus of this role is creating user experience and visual design for existing feature improvements, customer feedback implementation, and new features.",https://www.indeed.com//rc/clk?jk=c36c1c04af5493a1&fccid=78cdb581926839cc&vjs=3,23 days ago
UX/UI Designer,FinTech Studios,"New York, NY",,"Experience with popular wireframe/mocking software, for example: Sketch, Balsamiq, Figma.
Experience with Illustrator/Photoshop, specifically relating to…",https://www.indeed.com//rc/clk?jk=34d1289dac31fa64&fccid=2bcfeab2ef9f767e&vjs=3,30+ days ago
Principal Product Designer,Major League Baseball,"New York, NY",,"Inspire, motivate, and lead through work collaborating with designers across experience levels.
We're looking for a principal product designer who will build…",https://www.indeed.com//rc/clk?jk=72533a4252dbee37&fccid=6262eae176df0db9&vjs=3,30+ days ago
?What If! Innovation - Visual Designer,Accenture,"New York, NY",,"Collaborate with designers and Inventors to create audacious, impactful deliverables.
Ecosystems through iterative cycles that drive business value and create…",https://www.indeed.com//rc/clk?jk=d756556b7d3f611e&fccid=a4e4e2eaf26690c9&vjs=3,30+ days ago
Product Designer,Alliance Data,"New York, NY",,"Create exemplary prototypes and experiences, both alone and with other designers and key stakeholders, while balancing user needs, constraints of technology,…",https://www.indeed.com//rc/clk?jk=b73e793d4c6104ff&fccid=9edcedb2997876d2&vjs=3,30+ days ago
"Designer, Sr. UX",The Vitamin Shoppe,"Secaucus, NJ",,"5-7 years of professional experience as an interaction designer, user experience designer, or similar role.
Ability to collaborate, earn trust, and be excited…",https://www.indeed.com//rc/clk?jk=5ec0578d941d6c16&fccid=23f73aafc419ce9f&vjs=3,30+ days ago
Senior UX Designer,Barclays,"Whippany, NJ",,As a Barclays Senior User Experience (UX) Designer you will help define and drive the future of Barclays Compliance User Experience.,https://www.indeed.com//rc/clk?jk=d22c512a2ec9df14&fccid=057abf3fd357e717&vjs=3,30+ days ago
Sr. UX Designer,FlightSafety International,"Moonachie, NJ",,"The position plays a key role creating designs for technology products, and ensuring a quality implementation.
Develop clickable demos and prototypes.",https://www.indeed.com//rc/clk?jk=921d0c5c1d5207df&fccid=2fff55fe7953fcc8&vjs=3,4 days ago
Digital Production Designer,MW Partners,"New York, NY",$28 - $32 an hour,"2+ year of proven experience as a digital production designer or similar.
Elements. You will evaluate these assets for their overall quality, technical…",https://www.indeed.com//company/Techera/jobs/Digital-Production-Designer-d75c0bfde85d5e83?fccid=e9bb81f07e512b83&vjs=3,Active 3 days ago
